,conflicts
0,Accord Healthcare
1,Additio Investment Group
2,Advance Fluorescence Microscopy Unit (IBMB-PCB)
3,Advanced Nanotechnologies
4,Adventura Capital
5,AEROFYBERS
6,Afarvi Sistemas
7,Agència de Qualitat i Avaluació Sanitàrias de Catalunya (AQuAS)
8,AldeA Ventures
9,Alere
10,Althea Healthcare España
11,Ancar
12,Angelini Farmacéutica
13,Antares Consulting
14,Aquiles Robotic Systems
15,ARCh MAX
16,AsorCAD
17,Barça Innovation Hub
18,Barcelona Activa
19,Barcelona Centre Universitari (BCU)
20,Barcelona Supercomputing Center - Centro Nacional de Supercomputación (BSC-CNS)
21,BCN Peptides
22,Bellco
23,BetaScreen
24,Bioemprèn
25,Biogard
26,Bioinformatics Barcelona Association (BIB)
27,Bioinformatics (IDIBAPS)
28,Biomet 3i Dental Iberica
29,Bitmetrics
30,Braincats Consulting
31,Business Angels Network de Catalunya (BANC)
32,BZ Barcelona Zona Innovació
33,Cabinet de Asesoramiento y Expertise (Cabex)
34,Capital Cell
35,Cardionlive
36,Center for Computational Imaging &amp; Simulation Technologies in Biomedicine (CISTIB)
37,Centre de Nanotecnologia i Materials Moleculars (NANOMOL)
38,Centre de Recerca en Enginyeria de Materials i micro/nano Sistemes (EMaS)
39,Centre de Recerca en Seguretat i Control Alimentari (CRESCA)
40,Centre de Recerca en Toxicologia (CERETOX)
41,Centre de Transferència de Tecnologia de la Universitat de Lleida UdL (TTO)
42,Centre de Transferència de Tecnologia i Innovació de la Universitat Rovira i Virgili (TTO)
43,Centre de Transferència de Tecnologia UPC (TTO)
44,Centre Internacional de Mètodes Numèrics en Enginyeria (CIMNE)
45,Centre Nacional de Microelectrònica (CNM)
46,Chemswiss Ibérica
47,Clinical Research Unit (UCICEC)
48,Clúster de Nutrició i Salut
49,Clúster de Salut Mental
50,ColorsTheApp
51,Comercial Rafer
52,Connectem. Healthcare Business Consulting
53,Consorci de Serveis Universitaris de Catalunya (CSUC)
54,Coolvacuum
55,Co-Salud
56,Croda (Barcelona)
57,CSL Behring
58,DBS Screening
59,DC Fine Chemicals Spain
60,Deretil
61,DevsHealth
62,Diamed Iberica
63,Digital Cell
64,Doctomatic
65,Dr. Healthcare España
66,Edryx Healthcare
67,Effiloop Alerts
68,Emjoy
69,Entregoo
70,Ephion Health
71,Estabulari (UDL)
72,Finaves
73,Foro capital pymes
74,Fundacio Althaia. Xarxa Assistencial de Manresa
75,Fundació Dr. Ferran per a la Investigació en Ciències de la Salut
76,Fundació Institut Català de Farmacologia (FICF)
